rank,run_name,hidden_dim,activation,lr,lr_decay,weight_decay,epochs,best_val_acc,checkpoint_path
440,hd512_tanh_lr0p01_decay1p0_wd0p0001,512,tanh,0.01,1.0,0.0001,50,0.8933333333333333,model/weights/hd512_tanh_lr0p01_decay1p0_wd0p0001_best.npz
441,hd512_tanh_lr0p01_decay1p0_wd1e-05,512,tanh,0.01,1.0,1e-05,50,0.8933333333333333,model/weights/hd512_tanh_lr0p01_decay1p0_wd1e-05_best.npz
442,hd128_relu_lr0p05_decay0p9_wd0p001,128,relu,0.05,0.9,0.001,50,0.8931666666666667,model/weights/hd128_relu_lr0p05_decay0p9_wd0p001_best.npz
443,hd256_relu_lr0p01_decay1p0_wd0p0001,256,relu,0.01,1.0,0.0001,50,0.8931666666666667,model/weights/hd256_relu_lr0p01_decay1p0_wd0p0001_best.npz
444,hd256_relu_lr0p01_decay1p0_wd1e-05,256,relu,0.01,1.0,1e-05,50,0.8931666666666667,model/weights/hd256_relu_lr0p01_decay1p0_wd1e-05_best.npz
445,hd256_sigmoid_lr0p2_decay0p9_wd1e-05,256,sigmoid,0.2,0.9,1e-05,50,0.8931666666666667,model/weights/hd256_sigmoid_lr0p2_decay0p9_wd1e-05_best.npz
446,hd128_sigmoid_lr0p2_decay1p0_wd0p001,128,sigmoid,0.2,1.0,0.001,50,0.893,model/weights/hd128_sigmoid_lr0p2_decay1p0_wd0p001_best.npz
447,hd256_tanh_lr0p01_decay1p0_wd0p001,256,tanh,0.01,1.0,0.001,50,0.893,model/weights/hd256_tanh_lr0p01_decay1p0_wd0p001_best.npz
448,hd512_sigmoid_lr0p05_decay1p0_wd0p0001,512,sigmoid,0.05,1.0,0.0001,50,0.893,model/weights/hd512_sigmoid_lr0p05_decay1p0_wd0p0001_best.npz
449,hd128_relu_lr0p01_decay1p0_wd0p0001,128,relu,0.01,1.0,0.0001,50,0.8928333333333334,model/weights/hd128_relu_lr0p01_decay1p0_wd0p0001_best.npz
450,hd128_relu_lr0p01_decay1p0_wd0p0,128,relu,0.01,1.0,0.0,50,0.8928333333333334,model/weights/hd128_relu_lr0p01_decay1p0_wd0p0_best.npz
451,hd128_relu_lr0p01_decay1p0_wd1e-05,128,relu,0.01,1.0,1e-05,50,0.8928333333333334,model/weights/hd128_relu_lr0p01_decay1p0_wd1e-05_best.npz
