rank,run_name,hidden_dim,activation,lr,lr_decay,weight_decay,epochs,best_val_acc,checkpoint_path
542,hd768_relu_lr0p01_decay0p95_wd0p0001,768,relu,0.01,0.95,0.0001,50,0.8861666666666667,model/weights/hd768_relu_lr0p01_decay0p95_wd0p0001_best.npz
543,hd768_relu_lr0p01_decay0p95_wd1e-05,768,relu,0.01,0.95,1e-05,50,0.8861666666666667,model/weights/hd768_relu_lr0p01_decay0p95_wd1e-05_best.npz
544,hd768_relu_lr0p01_decay0p95_wd0p0,768,relu,0.01,0.95,0.0,50,0.886,model/weights/hd768_relu_lr0p01_decay0p95_wd0p0_best.npz
545,hd768_tanh_lr0p01_decay0p98_wd0p0001,768,tanh,0.01,0.98,0.0001,50,0.886,model/weights/hd768_tanh_lr0p01_decay0p98_wd0p0001_best.npz
546,hd768_tanh_lr0p01_decay0p98_wd0p001,768,tanh,0.01,0.98,0.001,50,0.886,model/weights/hd768_tanh_lr0p01_decay0p98_wd0p001_best.npz
547,hd256_sigmoid_lr0p05_decay1p0_wd0p001,256,sigmoid,0.05,1.0,0.001,50,0.8858333333333334,model/weights/hd256_sigmoid_lr0p05_decay1p0_wd0p001_best.npz
548,hd512_tanh_lr0p01_decay0p98_wd0p001,512,tanh,0.01,0.98,0.001,50,0.8858333333333334,model/weights/hd512_tanh_lr0p01_decay0p98_wd0p001_best.npz
549,hd768_tanh_lr0p01_decay0p98_wd0p0,768,tanh,0.01,0.98,0.0,50,0.8858333333333334,model/weights/hd768_tanh_lr0p01_decay0p98_wd0p0_best.npz
550,hd768_tanh_lr0p01_decay0p98_wd1e-05,768,tanh,0.01,0.98,1e-05,50,0.8858333333333334,model/weights/hd768_tanh_lr0p01_decay0p98_wd1e-05_best.npz
551,hd128_sigmoid_lr0p05_decay1p0_wd0p001,128,sigmoid,0.05,1.0,0.001,50,0.8856666666666667,model/weights/hd128_sigmoid_lr0p05_decay1p0_wd0p001_best.npz
552,hd128_tanh_lr0p01_decay0p98_wd0p0,128,tanh,0.01,0.98,0.0,50,0.8853333333333333,model/weights/hd128_tanh_lr0p01_decay0p98_wd0p0_best.npz
553,hd128_tanh_lr0p01_decay0p98_wd0p0001,128,tanh,0.01,0.98,0.0001,50,0.885,model/weights/hd128_tanh_lr0p01_decay0p98_wd0p0001_best.npz
554,hd128_tanh_lr0p01_decay0p98_wd1e-05,128,tanh,0.01,0.98,1e-05,50,0.885,model/weights/hd128_tanh_lr0p01_decay0p98_wd1e-05_best.npz
555,hd256_tanh_lr0p01_decay0p98_wd0p0001,256,tanh,0.01,0.98,0.0001,50,0.8848333333333334,model/weights/hd256_tanh_lr0p01_decay0p98_wd0p0001_best.npz
556,hd128_tanh_lr0p01_decay0p98_wd0p001,128,tanh,0.01,0.98,0.001,50,0.8846666666666667,model/weights/hd128_tanh_lr0p01_decay0p98_wd0p001_best.npz
557,hd256_tanh_lr0p01_decay0p98_wd0p0,256,tanh,0.01,0.98,0.0,50,0.8845,model/weights/hd256_tanh_lr0p01_decay0p98_wd0p0_best.npz
558,hd256_tanh_lr0p01_decay0p98_wd1e-05,256,tanh,0.01,0.98,1e-05,50,0.8845,model/weights/hd256_tanh_lr0p01_decay0p98_wd1e-05_best.npz
559,hd512_sigmoid_lr0p05_decay1p0_wd0p001,512,sigmoid,0.05,1.0,0.001,50,0.8843333333333333,model/weights/hd512_sigmoid_lr0p05_decay1p0_wd0p001_best.npz
560,hd256_sigmoid_lr0p2_decay0p9_wd0p001,256,sigmoid,0.2,0.9,0.001,50,0.884,model/weights/hd256_sigmoid_lr0p2_decay0p9_wd0p001_best.npz
561,hd256_tanh_lr0p01_decay0p98_wd0p001,256,tanh,0.01,0.98,0.001,50,0.8838333333333334,model/weights/hd256_tanh_lr0p01_decay0p98_wd0p001_best.npz
562,hd128_sigmoid_lr0p2_decay0p9_wd0p001,128,sigmoid,0.2,0.9,0.001,50,0.8831666666666667,model/weights/hd128_sigmoid_lr0p2_decay0p9_wd0p001_best.npz
563,hd128_sigmoid_lr0p1_decay0p95_wd0p001,128,sigmoid,0.1,0.95,0.001,50,0.8826666666666667,model/weights/hd128_sigmoid_lr0p1_decay0p95_wd0p001_best.npz
564,hd256_sigmoid_lr0p1_decay0p95_wd0p001,256,sigmoid,0.1,0.95,0.001,50,0.8826666666666667,model/weights/hd256_sigmoid_lr0p1_decay0p95_wd0p001_best.npz
565,hd256_relu_lr0p01_decay0p95_wd0p0001,256,relu,0.01,0.95,0.0001,50,0.8823333333333333,model/weights/hd256_relu_lr0p01_decay0p95_wd0p0001_best.npz
566,hd256_relu_lr0p01_decay0p95_wd1e-05,256,relu,0.01,0.95,1e-05,50,0.8823333333333333,model/weights/hd256_relu_lr0p01_decay0p95_wd1e-05_best.npz
567,hd512_sigmoid_lr0p2_decay0p9_wd0p001,512,sigmoid,0.2,0.9,0.001,50,0.8823333333333333,model/weights/hd512_sigmoid_lr0p2_decay0p9_wd0p001_best.npz
568,hd256_relu_lr0p01_decay0p95_wd0p0,256,relu,0.01,0.95,0.0,50,0.882,model/weights/hd256_relu_lr0p01_decay0p95_wd0p0_best.npz
569,hd512_sigmoid_lr0p1_decay0p95_wd0p001,512,sigmoid,0.1,0.95,0.001,50,0.882,model/weights/hd512_sigmoid_lr0p1_decay0p95_wd0p001_best.npz
570,hd256_relu_lr0p01_decay0p95_wd0p001,256,relu,0.01,0.95,0.001,50,0.8816666666666667,model/weights/hd256_relu_lr0p01_decay0p95_wd0p001_best.npz
571,hd512_relu_lr0p01_decay0p95_wd0p0001,512,relu,0.01,0.95,0.0001,50,0.8816666666666667,model/weights/hd512_relu_lr0p01_decay0p95_wd0p0001_best.npz
572,hd256_sigmoid_lr0p05_decay0p98_wd0p001,256,sigmoid,0.05,0.98,0.001,50,0.8815,model/weights/hd256_sigmoid_lr0p05_decay0p98_wd0p001_best.npz
573,hd512_relu_lr0p01_decay0p95_wd0p001,512,relu,0.01,0.95,0.001,50,0.8815,model/weights/hd512_relu_lr0p01_decay0p95_wd0p001_best.npz
574,hd512_relu_lr0p01_decay0p95_wd0p0,512,relu,0.01,0.95,0.0,50,0.8813333333333333,model/weights/hd512_relu_lr0p01_decay0p95_wd0p0_best.npz
575,hd512_relu_lr0p01_decay0p95_wd1e-05,512,relu,0.01,0.95,1e-05,50,0.8813333333333333,model/weights/hd512_relu_lr0p01_decay0p95_wd1e-05_best.npz
576,hd128_relu_lr0p01_decay0p95_wd0p0,128,relu,0.01,0.95,0.0,50,0.8806666666666667,model/weights/hd128_relu_lr0p01_decay0p95_wd0p0_best.npz
577,hd128_relu_lr0p01_decay0p95_wd1e-05,128,relu,0.01,0.95,1e-05,50,0.8806666666666667,model/weights/hd128_relu_lr0p01_decay0p95_wd1e-05_best.npz
578,hd128_sigmoid_lr0p05_decay0p98_wd0p001,128,sigmoid,0.05,0.98,0.001,50,0.8806666666666667,model/weights/hd128_sigmoid_lr0p05_decay0p98_wd0p001_best.npz
579,hd128_relu_lr0p01_decay0p95_wd0p0001,128,relu,0.01,0.95,0.0001,50,0.8805,model/weights/hd128_relu_lr0p01_decay0p95_wd0p0001_best.npz
580,hd512_tanh_lr0p01_decay0p95_wd0p0,512,tanh,0.01,0.95,0.0,50,0.8805,model/weights/hd512_tanh_lr0p01_decay0p95_wd0p0_best.npz
581,hd128_relu_lr0p01_decay0p95_wd0p001,128,relu,0.01,0.95,0.001,50,0.8803333333333333,model/weights/hd128_relu_lr0p01_decay0p95_wd0p001_best.npz
582,hd512_tanh_lr0p01_decay0p95_wd0p0001,512,tanh,0.01,0.95,0.0001,50,0.8803333333333333,model/weights/hd512_tanh_lr0p01_decay0p95_wd0p0001_best.npz
583,hd512_tanh_lr0p01_decay0p95_wd1e-05,512,tanh,0.01,0.95,1e-05,50,0.8803333333333333,model/weights/hd512_tanh_lr0p01_decay0p95_wd1e-05_best.npz
584,hd768_relu_lr0p01_decay0p9_wd0p001,768,relu,0.01,0.9,0.001,50,0.8803333333333333,model/weights/hd768_relu_lr0p01_decay0p9_wd0p001_best.npz
585,hd512_sigmoid_lr0p05_decay0p98_wd0p001,512,sigmoid,0.05,0.98,0.001,50,0.8801666666666667,model/weights/hd512_sigmoid_lr0p05_decay0p98_wd0p001_best.npz
586,hd768_relu_lr0p01_decay0p9_wd0p0001,768,relu,0.01,0.9,0.0001,50,0.8801666666666667,model/weights/hd768_relu_lr0p01_decay0p9_wd0p0001_best.npz
587,hd768_relu_lr0p01_decay0p9_wd0p0,768,relu,0.01,0.9,0.0,50,0.8801666666666667,model/weights/hd768_relu_lr0p01_decay0p9_wd0p0_best.npz
588,hd768_relu_lr0p01_decay0p9_wd1e-05,768,relu,0.01,0.9,1e-05,50,0.8801666666666667,model/weights/hd768_relu_lr0p01_decay0p9_wd1e-05_best.npz
589,hd512_sigmoid_lr0p1_decay0p9_wd0p0,512,sigmoid,0.1,0.9,0.0,50,0.8793333333333333,model/weights/hd512_sigmoid_lr0p1_decay0p9_wd0p0_best.npz
590,hd512_sigmoid_lr0p1_decay0p9_wd1e-05,512,sigmoid,0.1,0.9,1e-05,50,0.8793333333333333,model/weights/hd512_sigmoid_lr0p1_decay0p9_wd1e-05_best.npz
591,hd512_tanh_lr0p01_decay0p95_wd0p001,512,tanh,0.01,0.95,0.001,50,0.879,model/weights/hd512_tanh_lr0p01_decay0p95_wd0p001_best.npz
592,hd128_sigmoid_lr0p1_decay0p9_wd1e-05,128,sigmoid,0.1,0.9,1e-05,50,0.8786666666666667,model/weights/hd128_sigmoid_lr0p1_decay0p9_wd1e-05_best.npz
593,hd512_sigmoid_lr0p05_decay0p95_wd0p0,512,sigmoid,0.05,0.95,0.0,50,0.8786666666666667,model/weights/hd512_sigmoid_lr0p05_decay0p95_wd0p0_best.npz
594,hd128_sigmoid_lr0p1_decay0p9_wd0p0,128,sigmoid,0.1,0.9,0.0,50,0.8785,model/weights/hd128_sigmoid_lr0p1_decay0p9_wd0p0_best.npz
595,hd512_sigmoid_lr0p05_decay0p95_wd1e-05,512,sigmoid,0.05,0.95,1e-05,50,0.8785,model/weights/hd512_sigmoid_lr0p05_decay0p95_wd1e-05_best.npz
596,hd256_sigmoid_lr0p05_decay0p95_wd1e-05,256,sigmoid,0.05,0.95,1e-05,50,0.8783333333333333,model/weights/hd256_sigmoid_lr0p05_decay0p95_wd1e-05_best.npz
597,hd256_sigmoid_lr0p1_decay0p9_wd0p0001,256,sigmoid,0.1,0.9,0.0001,50,0.8783333333333333,model/weights/hd256_sigmoid_lr0p1_decay0p9_wd0p0001_best.npz
598,hd256_sigmoid_lr0p1_decay0p9_wd0p0,256,sigmoid,0.1,0.9,0.0,50,0.8783333333333333,model/weights/hd256_sigmoid_lr0p1_decay0p9_wd0p0_best.npz
599,hd256_sigmoid_lr0p1_decay0p9_wd1e-05,256,sigmoid,0.1,0.9,1e-05,50,0.8783333333333333,model/weights/hd256_sigmoid_lr0p1_decay0p9_wd1e-05_best.npz
600,hd512_sigmoid_lr0p1_decay0p9_wd0p0001,512,sigmoid,0.1,0.9,0.0001,50,0.8783333333333333,model/weights/hd512_sigmoid_lr0p1_decay0p9_wd0p0001_best.npz
601,hd256_sigmoid_lr0p05_decay0p95_wd0p0,256,sigmoid,0.05,0.95,0.0,50,0.8781666666666667,model/weights/hd256_sigmoid_lr0p05_decay0p95_wd0p0_best.npz
602,hd768_tanh_lr0p01_decay0p95_wd0p0,768,tanh,0.01,0.95,0.0,50,0.8781666666666667,model/weights/hd768_tanh_lr0p01_decay0p95_wd0p0_best.npz
603,hd768_tanh_lr0p01_decay0p95_wd1e-05,768,tanh,0.01,0.95,1e-05,50,0.8781666666666667,model/weights/hd768_tanh_lr0p01_decay0p95_wd1e-05_best.npz
604,hd128_sigmoid_lr0p1_decay0p9_wd0p0001,128,sigmoid,0.1,0.9,0.0001,50,0.8778333333333334,model/weights/hd128_sigmoid_lr0p1_decay0p9_wd0p0001_best.npz
605,hd256_sigmoid_lr0p05_decay0p95_wd0p0001,256,sigmoid,0.05,0.95,0.0001,50,0.8778333333333334,model/weights/hd256_sigmoid_lr0p05_decay0p95_wd0p0001_best.npz
606,hd512_sigmoid_lr0p05_decay0p95_wd0p0001,512,sigmoid,0.05,0.95,0.0001,50,0.8778333333333334,model/weights/hd512_sigmoid_lr0p05_decay0p95_wd0p0001_best.npz
607,hd256_sigmoid,256,sigmoid,0.1,0.95,0.0001,15,0.8776666666666667,model/weights/hd256_sigmoid_best.npz
608,hd768_tanh_lr0p01_decay0p95_wd0p0001,768,tanh,0.01,0.95,0.0001,50,0.8776666666666667,model/weights/hd768_tanh_lr0p01_decay0p95_wd0p0001_best.npz
609,hd128_sigmoid_lr0p05_decay0p95_wd0p0,128,sigmoid,0.05,0.95,0.0,50,0.8765,model/weights/hd128_sigmoid_lr0p05_decay0p95_wd0p0_best.npz
610,hd128_sigmoid_lr0p05_decay0p95_wd1e-05,128,sigmoid,0.05,0.95,1e-05,50,0.8765,model/weights/hd128_sigmoid_lr0p05_decay0p95_wd1e-05_best.npz
611,hd768_tanh_lr0p01_decay0p95_wd0p001,768,tanh,0.01,0.95,0.001,50,0.8761666666666666,model/weights/hd768_tanh_lr0p01_decay0p95_wd0p001_best.npz
612,hd128_sigmoid_lr0p05_decay0p95_wd0p0001,128,sigmoid,0.05,0.95,0.0001,50,0.876,model/weights/hd128_sigmoid_lr0p05_decay0p95_wd0p0001_best.npz
613,hd128_tanh_lr0p01_decay0p95_wd0p0001,128,tanh,0.01,0.95,0.0001,50,0.8748333333333334,model/weights/hd128_tanh_lr0p01_decay0p95_wd0p0001_best.npz
614,hd128_tanh_lr0p01_decay0p95_wd0p0,128,tanh,0.01,0.95,0.0,50,0.8748333333333334,model/weights/hd128_tanh_lr0p01_decay0p95_wd0p0_best.npz
615,hd128_tanh_lr0p01_decay0p95_wd1e-05,128,tanh,0.01,0.95,1e-05,50,0.8748333333333334,model/weights/hd128_tanh_lr0p01_decay0p95_wd1e-05_best.npz
616,hd128_tanh_lr0p01_decay0p95_wd0p001,128,tanh,0.01,0.95,0.001,50,0.8741666666666666,model/weights/hd128_tanh_lr0p01_decay0p95_wd0p001_best.npz
617,hd256_tanh_lr0p01_decay0p95_wd0p0001,256,tanh,0.01,0.95,0.0001,50,0.8741666666666666,model/weights/hd256_tanh_lr0p01_decay0p95_wd0p0001_best.npz
618,hd256_tanh_lr0p01_decay0p95_wd0p0,256,tanh,0.01,0.95,0.0,50,0.8741666666666666,model/weights/hd256_tanh_lr0p01_decay0p95_wd0p0_best.npz
619,hd256_tanh_lr0p01_decay0p95_wd1e-05,256,tanh,0.01,0.95,1e-05,50,0.8741666666666666,model/weights/hd256_tanh_lr0p01_decay0p95_wd1e-05_best.npz
620,hd512_relu_lr0p01_decay0p9_wd0p0001,512,relu,0.01,0.9,0.0001,50,0.8735,model/weights/hd512_relu_lr0p01_decay0p9_wd0p0001_best.npz
621,hd256_tanh_lr0p01_decay0p95_wd0p001,256,tanh,0.01,0.95,0.001,50,0.8733333333333333,model/weights/hd256_tanh_lr0p01_decay0p95_wd0p001_best.npz
622,hd512_relu_lr0p01_decay0p9_wd0p001,512,relu,0.01,0.9,0.001,50,0.8733333333333333,model/weights/hd512_relu_lr0p01_decay0p9_wd0p001_best.npz
623,hd512_relu_lr0p01_decay0p9_wd0p0,512,relu,0.01,0.9,0.0,50,0.8733333333333333,model/weights/hd512_relu_lr0p01_decay0p9_wd0p0_best.npz
624,hd512_relu_lr0p01_decay0p9_wd1e-05,512,relu,0.01,0.9,1e-05,50,0.8733333333333333,model/weights/hd512_relu_lr0p01_decay0p9_wd1e-05_best.npz
625,hd256_sigmoid_lr0p1_decay0p9_wd0p001,256,sigmoid,0.1,0.9,0.001,50,0.8718333333333333,model/weights/hd256_sigmoid_lr0p1_decay0p9_wd0p001_best.npz
626,hd256_sigmoid_lr0p05_decay0p95_wd0p001,256,sigmoid,0.05,0.95,0.001,50,0.8715,model/weights/hd256_sigmoid_lr0p05_decay0p95_wd0p001_best.npz
627,hd128_sigmoid_lr0p1_decay0p9_wd0p001,128,sigmoid,0.1,0.9,0.001,50,0.8711666666666666,model/weights/hd128_sigmoid_lr0p1_decay0p9_wd0p001_best.npz
628,hd512_sigmoid_lr0p1_decay0p9_wd0p001,512,sigmoid,0.1,0.9,0.001,50,0.8708333333333333,model/weights/hd512_sigmoid_lr0p1_decay0p9_wd0p001_best.npz
629,hd256_relu_lr0p01_decay0p9_wd1e-05,256,relu,0.01,0.9,1e-05,50,0.8703333333333333,model/weights/hd256_relu_lr0p01_decay0p9_wd1e-05_best.npz
630,hd256_relu_lr0p01_decay0p9_wd0p0001,256,relu,0.01,0.9,0.0001,50,0.8701666666666666,model/weights/hd256_relu_lr0p01_decay0p9_wd0p0001_best.npz
631,hd256_relu_lr0p01_decay0p9_wd0p001,256,relu,0.01,0.9,0.001,50,0.8701666666666666,model/weights/hd256_relu_lr0p01_decay0p9_wd0p001_best.npz
632,hd256_relu_lr0p01_decay0p9_wd0p0,256,relu,0.01,0.9,0.0,50,0.8701666666666666,model/weights/hd256_relu_lr0p01_decay0p9_wd0p0_best.npz
633,hd512_sigmoid_lr0p05_decay0p95_wd0p001,512,sigmoid,0.05,0.95,0.001,50,0.8701666666666666,model/weights/hd512_sigmoid_lr0p05_decay0p95_wd0p001_best.npz
634,hd128_sigmoid_lr0p05_decay0p95_wd0p001,128,sigmoid,0.05,0.95,0.001,50,0.8693333333333333,model/weights/hd128_sigmoid_lr0p05_decay0p95_wd0p001_best.npz
635,hd128_relu_lr0p01_decay0p9_wd0p001,128,relu,0.01,0.9,0.001,50,0.8686666666666667,model/weights/hd128_relu_lr0p01_decay0p9_wd0p001_best.npz
636,hd128_relu_lr0p01_decay0p9_wd0p0,128,relu,0.01,0.9,0.0,50,0.8685,model/weights/hd128_relu_lr0p01_decay0p9_wd0p0_best.npz
637,hd128_relu_lr0p01_decay0p9_wd1e-05,128,relu,0.01,0.9,1e-05,50,0.8685,model/weights/hd128_relu_lr0p01_decay0p9_wd1e-05_best.npz
638,hd128_relu_lr0p01_decay0p9_wd0p0001,128,relu,0.01,0.9,0.0001,50,0.8683333333333333,model/weights/hd128_relu_lr0p01_decay0p9_wd0p0001_best.npz
639,hd768_tanh_lr0p01_decay0p9_wd0p0001,768,tanh,0.01,0.9,0.0001,50,0.8656666666666667,model/weights/hd768_tanh_lr0p01_decay0p9_wd0p0001_best.npz
640,hd768_tanh_lr0p01_decay0p9_wd0p001,768,tanh,0.01,0.9,0.001,50,0.8656666666666667,model/weights/hd768_tanh_lr0p01_decay0p9_wd0p001_best.npz
641,hd768_tanh_lr0p01_decay0p9_wd0p0,768,tanh,0.01,0.9,0.0,50,0.8653333333333333,model/weights/hd768_tanh_lr0p01_decay0p9_wd0p0_best.npz
642,hd768_tanh_lr0p01_decay0p9_wd1e-05,768,tanh,0.01,0.9,1e-05,50,0.8653333333333333,model/weights/hd768_tanh_lr0p01_decay0p9_wd1e-05_best.npz
643,hd512_tanh_lr0p01_decay0p9_wd0p0001,512,tanh,0.01,0.9,0.0001,50,0.8651666666666666,model/weights/hd512_tanh_lr0p01_decay0p9_wd0p0001_best.npz
644,hd512_tanh_lr0p01_decay0p9_wd0p0,512,tanh,0.01,0.9,0.0,50,0.8651666666666666,model/weights/hd512_tanh_lr0p01_decay0p9_wd0p0_best.npz
645,hd512_tanh_lr0p01_decay0p9_wd1e-05,512,tanh,0.01,0.9,1e-05,50,0.8651666666666666,model/weights/hd512_tanh_lr0p01_decay0p9_wd1e-05_best.npz
646,hd256_sigmoid_lr0p01_decay1p0_wd0p0,256,sigmoid,0.01,1.0,0.0,50,0.865,model/weights/hd256_sigmoid_lr0p01_decay1p0_wd0p0_best.npz
647,hd256_sigmoid_lr0p01_decay1p0_wd1e-05,256,sigmoid,0.01,1.0,1e-05,50,0.865,model/weights/hd256_sigmoid_lr0p01_decay1p0_wd1e-05_best.npz
648,hd512_sigmoid_lr0p05_decay0p9_wd0p0,512,sigmoid,0.05,0.9,0.0,50,0.865,model/weights/hd512_sigmoid_lr0p05_decay0p9_wd0p0_best.npz
649,hd512_sigmoid_lr0p05_decay0p9_wd1e-05,512,sigmoid,0.05,0.9,1e-05,50,0.865,model/weights/hd512_sigmoid_lr0p05_decay0p9_wd1e-05_best.npz
650,hd512_sigmoid_lr0p05_decay0p9_wd0p0001,512,sigmoid,0.05,0.9,0.0001,50,0.8648333333333333,model/weights/hd512_sigmoid_lr0p05_decay0p9_wd0p0001_best.npz
651,hd512_tanh_lr0p01_decay0p9_wd0p001,512,tanh,0.01,0.9,0.001,50,0.8648333333333333,model/weights/hd512_tanh_lr0p01_decay0p9_wd0p001_best.npz
652,hd256_sigmoid_lr0p01_decay1p0_wd0p0001,256,sigmoid,0.01,1.0,0.0001,50,0.8645,model/weights/hd256_sigmoid_lr0p01_decay1p0_wd0p0001_best.npz
653,hd256_tanh_lr0p01_decay0p9_wd0p0001,256,tanh,0.01,0.9,0.0001,50,0.8636666666666667,model/weights/hd256_tanh_lr0p01_decay0p9_wd0p0001_best.npz
654,hd256_tanh_lr0p01_decay0p9_wd0p001,256,tanh,0.01,0.9,0.001,50,0.8636666666666667,model/weights/hd256_tanh_lr0p01_decay0p9_wd0p001_best.npz
655,hd256_tanh_lr0p01_decay0p9_wd0p0,256,tanh,0.01,0.9,0.0,50,0.8636666666666667,model/weights/hd256_tanh_lr0p01_decay0p9_wd0p0_best.npz
656,hd256_tanh_lr0p01_decay0p9_wd1e-05,256,tanh,0.01,0.9,1e-05,50,0.8636666666666667,model/weights/hd256_tanh_lr0p01_decay0p9_wd1e-05_best.npz
657,hd512_sigmoid_lr0p01_decay1p0_wd0p0001,512,sigmoid,0.01,1.0,0.0001,50,0.8636666666666667,model/weights/hd512_sigmoid_lr0p01_decay1p0_wd0p0001_best.npz
658,hd512_sigmoid_lr0p01_decay1p0_wd0p0,512,sigmoid,0.01,1.0,0.0,50,0.8636666666666667,model/weights/hd512_sigmoid_lr0p01_decay1p0_wd0p0_best.npz
659,hd512_sigmoid_lr0p01_decay1p0_wd1e-05,512,sigmoid,0.01,1.0,1e-05,50,0.8636666666666667,model/weights/hd512_sigmoid_lr0p01_decay1p0_wd1e-05_best.npz
660,hd256_sigmoid_lr0p05_decay0p9_wd0p0,256,sigmoid,0.05,0.9,0.0,50,0.8633333333333333,model/weights/hd256_sigmoid_lr0p05_decay0p9_wd0p0_best.npz
661,hd256_sigmoid_lr0p05_decay0p9_wd1e-05,256,sigmoid,0.05,0.9,1e-05,50,0.8633333333333333,model/weights/hd256_sigmoid_lr0p05_decay0p9_wd1e-05_best.npz
662,hd256_sigmoid_lr0p05_decay0p9_wd0p0001,256,sigmoid,0.05,0.9,0.0001,50,0.8631666666666666,model/weights/hd256_sigmoid_lr0p05_decay0p9_wd0p0001_best.npz
663,hd128_sigmoid_lr0p01_decay1p0_wd0p0,128,sigmoid,0.01,1.0,0.0,50,0.863,model/weights/hd128_sigmoid_lr0p01_decay1p0_wd0p0_best.npz
664,hd128_sigmoid_lr0p01_decay1p0_wd1e-05,128,sigmoid,0.01,1.0,1e-05,50,0.863,model/weights/hd128_sigmoid_lr0p01_decay1p0_wd1e-05_best.npz
665,hd128_sigmoid_lr0p01_decay1p0_wd0p0001,128,sigmoid,0.01,1.0,0.0001,50,0.8625,model/weights/hd128_sigmoid_lr0p01_decay1p0_wd0p0001_best.npz
666,hd128_sigmoid_lr0p05_decay0p9_wd0p0,128,sigmoid,0.05,0.9,0.0,50,0.8618333333333333,model/weights/hd128_sigmoid_lr0p05_decay0p9_wd0p0_best.npz
667,hd128_sigmoid_lr0p05_decay0p9_wd1e-05,128,sigmoid,0.05,0.9,1e-05,50,0.8616666666666667,model/weights/hd128_sigmoid_lr0p05_decay0p9_wd1e-05_best.npz
668,hd128_tanh_lr0p01_decay0p9_wd0p0,128,tanh,0.01,0.9,0.0,50,0.8615,model/weights/hd128_tanh_lr0p01_decay0p9_wd0p0_best.npz
669,hd128_tanh_lr0p01_decay0p9_wd1e-05,128,tanh,0.01,0.9,1e-05,50,0.8615,model/weights/hd128_tanh_lr0p01_decay0p9_wd1e-05_best.npz
670,hd128_sigmoid_lr0p05_decay0p9_wd0p0001,128,sigmoid,0.05,0.9,0.0001,50,0.8613333333333333,model/weights/hd128_sigmoid_lr0p05_decay0p9_wd0p0001_best.npz
671,hd128_tanh_lr0p01_decay0p9_wd0p0001,128,tanh,0.01,0.9,0.0001,50,0.8613333333333333,model/weights/hd128_tanh_lr0p01_decay0p9_wd0p0001_best.npz
672,hd128_tanh_lr0p01_decay0p9_wd0p001,128,tanh,0.01,0.9,0.001,50,0.861,model/weights/hd128_tanh_lr0p01_decay0p9_wd0p001_best.npz
673,hd256_sigmoid_lr0p01_decay1p0_wd0p001,256,sigmoid,0.01,1.0,0.001,50,0.8601666666666666,model/weights/hd256_sigmoid_lr0p01_decay1p0_wd0p001_best.npz
674,hd512_sigmoid_lr0p01_decay1p0_wd0p001,512,sigmoid,0.01,1.0,0.001,50,0.86,model/weights/hd512_sigmoid_lr0p01_decay1p0_wd0p001_best.npz
675,hd256_sigmoid_lr0p05_decay0p9_wd0p001,256,sigmoid,0.05,0.9,0.001,50,0.8598333333333333,model/weights/hd256_sigmoid_lr0p05_decay0p9_wd0p001_best.npz
676,hd512_sigmoid_lr0p05_decay0p9_wd0p001,512,sigmoid,0.05,0.9,0.001,50,0.8596666666666667,model/weights/hd512_sigmoid_lr0p05_decay0p9_wd0p001_best.npz
677,hd128_sigmoid_lr0p01_decay1p0_wd0p001,128,sigmoid,0.01,1.0,0.001,50,0.8593333333333333,model/weights/hd128_sigmoid_lr0p01_decay1p0_wd0p001_best.npz
678,hd128_sigmoid_lr0p05_decay0p9_wd0p001,128,sigmoid,0.05,0.9,0.001,50,0.859,model/weights/hd128_sigmoid_lr0p05_decay0p9_wd0p001_best.npz
679,hd512_sigmoid_lr0p01_decay0p98_wd0p0,512,sigmoid,0.01,0.98,0.0,50,0.8555,model/weights/hd512_sigmoid_lr0p01_decay0p98_wd0p0_best.npz
680,hd512_sigmoid_lr0p01_decay0p98_wd1e-05,512,sigmoid,0.01,0.98,1e-05,50,0.8555,model/weights/hd512_sigmoid_lr0p01_decay0p98_wd1e-05_best.npz
681,hd512_sigmoid_lr0p01_decay0p98_wd0p0001,512,sigmoid,0.01,0.98,0.0001,50,0.8551666666666666,model/weights/hd512_sigmoid_lr0p01_decay0p98_wd0p0001_best.npz
682,hd256_sigmoid_lr0p01_decay0p98_wd0p0001,256,sigmoid,0.01,0.98,0.0001,50,0.8548333333333333,model/weights/hd256_sigmoid_lr0p01_decay0p98_wd0p0001_best.npz
683,hd256_sigmoid_lr0p01_decay0p98_wd0p0,256,sigmoid,0.01,0.98,0.0,50,0.8548333333333333,model/weights/hd256_sigmoid_lr0p01_decay0p98_wd0p0_best.npz
684,hd256_sigmoid_lr0p01_decay0p98_wd1e-05,256,sigmoid,0.01,0.98,1e-05,50,0.8548333333333333,model/weights/hd256_sigmoid_lr0p01_decay0p98_wd1e-05_best.npz
685,hd512_sigmoid_lr0p01_decay0p98_wd0p001,512,sigmoid,0.01,0.98,0.001,50,0.8535,model/weights/hd512_sigmoid_lr0p01_decay0p98_wd0p001_best.npz
686,hd256_sigmoid_lr0p01_decay0p98_wd0p001,256,sigmoid,0.01,0.98,0.001,50,0.8533333333333334,model/weights/hd256_sigmoid_lr0p01_decay0p98_wd0p001_best.npz
687,hd128_sigmoid_lr0p01_decay0p98_wd0p0001,128,sigmoid,0.01,0.98,0.0001,50,0.8521666666666666,model/weights/hd128_sigmoid_lr0p01_decay0p98_wd0p0001_best.npz
